id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
12925,23,44,"Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws","Bwf Sudirman Cup, 2021, Ws"
7067,23,44,,"Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles","Yonex Swiss Open, Mixed Doubles"
25875,23,44,"Dutch International, Women, Doubles","Dutch International, Women, Doubles","Dutch International, Women, Doubles","Int Alemán Victor,(IC),DF","Dutch International, Women, Doubles","Dutch International, Women, Doubles","Dutch International, Women, Doubles","Int. Victor Holanda, PF","Dutch International, Women, Doubles","Dutch International, Women, Doubles","Dutch International, Women, Doubles","Hà Lan International, Đôi Nữ","Dutch International, Women, Doubles"
7334,23,44,,"All England Championships, Women, Doubles","All England Championships, Women, Doubles","All England Championships, Women, Doubles","All England Championships, Women, Doubles",全英チャンピオンシップ、WD,"All England Championships, Women, Doubles","All England Championships, Women, Doubles","All England Championships, Women, Doubles","All England Championships, Women, Doubles","All England Championships, Women, Doubles","Giải vô địch toàn Anh, Đôi Nữ","All England Championships, Women, Doubles"
81486,23,44,,,,,,,,,,,,,
25579,23,44,"Korea Masters, Doubles","Korea Masters, Doubles","Korea Masters, Doubles","M. Corea (GPG), Dob.","Korea Masters, Doubles","Korea Masters, Doubles","Korea Masters, Doubles","Masters da Coreia, Pares","Korea Masters, Doubles","Korea Masters, Doubles","Korea Masters, Doubles","Korea Masters, Đôi Nam","Korea Masters, Doubles"
15845,23,44,"Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia Open, Mixed Doubles","Indonesia mở rộng (SS), Đôi Nam Nữ","Indonesia Open, Mixed Doubles"
14158,23,44,"Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Czech Open, Women Doubles","Séc mở rộng, Đôi Nữ","Czech Open, Women Doubles"
37761,23,44,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Copa Libertadores,Cúp C1 Nam Mỹ,Copa Libertadores
52856,23,44,,,,,,,,,,,,,
